"Fantastic Beasts: The Crimes Of Grindelwald*","Gold Class Suntec City","Gold Class Suntec City","09/12/2018","8:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6395/showDate/09-12-2018/showTime/2055/hallNumber/3"
"Spider-Man: Into The Spider-Verse*","Duo Deluxe, Paya Lebar","Duo Deluxe, Paya Lebar","09/12/2018","2:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/131/filmCode/6414/showDate/09-12-2018/showTime/1400/hallNumber/1"
"The Grinch","GV VivoCity","GV VivoCity","11/12/2018","12:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6398/showDate/11-12-2018/showTime/1230/hallNumber/8"
"The Wrath*","GV Yishun","GV Yishun","12/12/2018","4:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/3562/showDate/12-12-2018/showTime/1640/hallNumber/2"
"Aquaman*","GV Katong","GV Katong","13/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/13-12-2018/showTime/2150/hallNumber/6"
"Aquaman (Digital)","321 Clementi","WE-Clementi","18/12/2018","3:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77972&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Widows*","GV VivoCity","GV VivoCity","09/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6411/showDate/09-12-2018/showTime/1550/hallNumber/9"
"Aquaman*","GV Yishun","GV Yishun","15/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6412/showDate/15-12-2018/showTime/2150/hallNumber/7"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","13/12/2018","7:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/13-12-2018/showTime/1925/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","09/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/09-12-2018/showTime/1600/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","12/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/12-12-2018/showTime/1235/hallNumber/1"
"The Grinch","GV Katong","GV Katong","11/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/11-12-2018/showTime/1445/hallNumber/4"
"Aquaman*","Grand Seats, Great World City","Grand Seats, Great World City","15/12/2018","12:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6412/showDate/15-12-2018/showTime/30/hallNumber/6"
"The Grinch","GV VivoCity","GV VivoCity","09/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6398/showDate/09-12-2018/showTime/1550/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","11/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/11-12-2018/showTime/1330/hallNumber/4"
"Mortal Engines*","GV Plaza","GV Plaza","11/12/2018","12:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/11-12-2018/showTime/1250/hallNumber/8"
"Aquaman*","GV Katong","GV Katong","14/12/2018","1:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/14-12-2018/showTime/130/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Bishan","GV Bishan","09/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6395/showDate/09-12-2018/showTime/1020/hallNumber/3"
"Kedarnath*","GV City Square","GV City Square","12/12/2018","10:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/4838/showDate/12-12-2018/showTime/1050/hallNumber/6"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Plaza","GV Plaza","11/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6395/showDate/11-12-2018/showTime/2135/hallNumber/10"
"Robin Hood","GV Plaza","GV Plaza","09/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6410/showDate/09-12-2018/showTime/1055/hallNumber/7"
"The Grinch","GV Plaza","GV Plaza","10/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6398/showDate/10-12-2018/showTime/1430/hallNumber/2"
"Mortal Engines*","GV Jurong Point","GV Jurong Point","11/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6413/showDate/11-12-2018/showTime/1310/hallNumber/5"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","19/12/2018","10:50 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77941&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6396/showDate/09-12-2018/showTime/1610/hallNumber/4"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","10/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/10-12-2018/showTime/1300/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/09-12-2018/showTime/1840/hallNumber/6"
"Creed II","GV VivoCity","GV VivoCity","09/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6409/showDate/09-12-2018/showTime/2155/hallNumber/6"
"Aquaman*","GV Yishun","GV Yishun","15/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6412/showDate/15-12-2018/showTime/1235/hallNumber/7"
"The Grinch","GV Bedok","GV Bedok","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6398/showDate/10-12-2018/showTime/1840/hallNumber/5"
"The Grinch","GV Katong","GV Katong","12/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/12-12-2018/showTime/1445/hallNumber/4"
"The Devil Fish (Digital)","321 Clementi","WE-Clementi","9/12/2018","11:20 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78231&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV Grand, Great World City","GV Grand, Great World City","10/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6413/showDate/10-12-2018/showTime/1130/hallNumber/6"
"Spider-Man: Into The Spider-Verse*","GV Jurong Point","GV Jurong Point","10/12/2018","11:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6414/showDate/10-12-2018/showTime/1125/hallNumber/6"
"Aquaman*","Gold Class Suntec City","Gold Class Suntec City","13/12/2018","4:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6412/showDate/13-12-2018/showTime/1620/hallNumber/2"
